sparse_categorical_accuracy,sparse_categorical_crossentropy,loss,num_examples,num_batches,time
0.46136597,1.6324681,1.6324681,49050,2454,71.85820198059082
0.4625892,1.4670494,1.4670494,49050,2454,125.42262434959412
0.4625892,1.4540935,1.4540935,49050,2454,178.981303691864
0.4614469,1.4381325,1.4381325,58815,2942,242.30863451957703
0.46099883,1.4307687,1.4307687,29935,1498,275.80608892440796
0.46099883,1.4278945,1.4278945,29935,1498,309.3357925415039
0.4625892,1.4373885,1.4373885,49050,2454,362.8731608390808
0.4625892,1.4331018,1.4331018,49050,2454,416.468101978302
0.46099883,1.4167832,1.4167832,29935,1498,450.02021884918213
0.46099883,1.4144261,1.4144261,29935,1498,483.9872398376465
0.46099883,1.4122128,1.4122128,29935,1498,517.5256631374359
0.4614469,1.4131473,1.4131473,58815,2942,580.9677929878235
0.4625892,1.4192246,1.4192246,49050,2454,634.9402554035187
0.46099883,1.402563,1.402563,29935,1498,668.6291210651398
0.46099883,1.4003767,1.4003767,29935,1498,702.2198989391327
0.4614469,1.4018296,1.4018296,58815,2942,765.5006103515625
0.4614639,1.398277,1.398277,58815,2942,831.7499487400055
0.46171895,1.3947989,1.3947988,58815,2942,897.9832088947296
0.4627319,1.401476,1.401476,49050,2454,952.1719965934753
0.46348622,1.3980339,1.3980339,49050,2454,1005.8430030345917
0.46491337,1.3947155,1.3947155,49050,2454,1059.8231446743011
0.46644396,1.3780696,1.3780696,29935,1498,1093.614384651184
0.46701324,1.3898928,1.3898928,49050,2454,1147.5785565376282
0.46762487,1.3866771,1.3866771,49050,2454,1201.410355091095
0.46824786,1.3698789,1.3698788,29935,1498,1235.13942360878
0.46861532,1.3680676,1.3680676,29935,1498,1268.834492444992
0.468979,1.3700485,1.3700485,58815,2942,1332.3286068439484
0.46918303,1.3670598,1.3670598,58815,2942,1395.893119096756
0.469083,1.36036,1.36036,29935,1498,1429.5447182655334
0.46986747,1.3729991,1.3729991,49050,2454,1483.4923741817474
0.46941707,1.3557799,1.3557799,29935,1498,1517.183042049408
0.46931684,1.3540484,1.3540484,29935,1498,1550.9117279052734
0.46998215,1.3566089,1.3566089,58815,2942,1614.3529269695282
0.47005016,1.3537657,1.3537657,58815,2942,1677.8176963329315
0.47040722,1.350995,1.350995,58815,2942,1741.5928773880005
0.47074726,1.3483045,1.3483045,58815,2942,1805.1361722946167
0.47122097,1.3415339,1.3415339,29935,1498,1838.801525592804
0.47188908,1.3399462,1.3399462,29935,1498,1872.4961791038513
0.47139654,1.3535148,1.3535148,49050,2454,1926.227123260498
0.47269082,1.3359249,1.3359249,29935,1498,1959.9541380405426
0.47243628,1.3494244,1.3494244,49050,2454,2013.8136332035065
0.47350165,1.336215,1.336215,58815,2942,2077.408996105194
0.47499582,1.3293868,1.3293868,29935,1498,2111.1567854881287
0.47560996,1.3323506,1.3323506,58815,2942,2174.783414363861
0.47598368,1.3406655,1.3406655,49050,2454,2228.6500148773193
0.47714576,1.3381263,1.3381263,49050,2454,2282.485073328018
0.47941852,1.3249952,1.3249952,58815,2942,2346.0345599651337
0.48120928,1.3183441,1.3183441,29935,1498,2380.0354278087616
0.48257893,1.316851,1.316851,29935,1498,2413.7465963363647
0.48378152,1.3154788,1.3154788,29935,1498,2447.5099172592163
0.48461667,1.3141724,1.3141724,29935,1498,2481.24702000618
0.48551863,1.3128535,1.3128535,29935,1498,2514.9773349761963
0.48685485,1.311599,1.311599,29935,1498,2548.759779214859
0.4888592,1.3102964,1.3102964,29935,1498,2582.62623667717
0.48729065,1.3143322,1.3143322,58815,2942,2647.6651878356934
